,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
27,FALSE,mp-1202872,KBCNF3,Orthorhombic,Pbcn,60,56,0.16637794,-2.143250629,FALSE,929.5705217,1.899561301,6.7192,FALSE,FALSE,NM,0,,,,,,,,,,,,,,,
28,FALSE,mp-1106282,KBC3N3F,Triclinic,P-1,2,18,0.356625816,-0.629446142,FALSE,356.756691,1.368062137,5.729,FALSE,FALSE,NM,0,,,,,,,,,,,,,,,
29,TRUE,mp-1211861,KB(CN)2,Tetragonal,I4_1/a,88,24,1.02070956,0.278759567,FALSE,502.4310956,1.347704488,0,FALSE,TRUE,NM,2.7884953,,,,,,,,,,,,,,,
30,FALSE,mp-13589,CuB(CN)4,Cubic,P-43m,215,10,0.360499535,0.067260992,FALSE,159.7271921,1.854939889,3.2264,FALSE,FALSE,NM,0,,,,,,,,,,,,0.078716667,3.32219626,0.15914009,
31,FALSE,mp-734069,BH10C2N5O3,Orthorhombic,P2_12_12_1,19,84,0.01150881,-0.857514001,FALSE,737.1672281,1.468182725,4.5377,TRUE,FALSE,NM,3.00E-07,,,,,,,,,,,,,,,
32,FALSE,mp-13590,LiB(CN)4,Cubic,P-43m,215,10,0.339826897,-0.15965354,FALSE,171.0643257,1.182534845,6.3482,FALSE,FALSE,NM,0,,,,,,,0.805,,,,,0.015326667,2.73396185,0.58604512,
33,TRUE,mp-1215033,BC24Br(NF2)6,Monoclinic,P2_1/c,14,176,0.232416997,-0.616825742,FALSE,2357.209029,1.947083333,1.4867,TRUE,FALSE,NM,0.0114188,,,,,,,,,,,,,,,
34,FALSE,mp-1204476,BH17C6NCl,Monoclinic,P2_1,4,52,0.12437807,-0.253415951,FALSE,523.8711475,0.947563446,5.0663,FALSE,FALSE,NM,0.0025965,,,,,,,,,,,,,,,
35,TRUE,mp-1079201,BC2N,Monoclinic,Cm,8,8,0.889996719,0.156900361,FALSE,48.13174353,3.369885551,0.7324,TRUE,FALSE,NM,0.0004629,,,,,,,,,,,,,,,
36,FALSE,mp-1203788,BH10C2N,Monoclinic,P2_1/c,14,56,0.181761533,-0.207999272,FALSE,629.098549,0.622074053,5.7052,TRUE,FALSE,NM,0.0178701,,,,,,,,,,,,,,,
37,TRUE,mp-1228833,BH2CN,Triclinic,P-1,2,30,0.543308379,-0.169381999,FALSE,439.9203272,0.879738086,4.8878,FALSE,FALSE,NM,0.0004707,,,,,,,,,,,,,,,
38,FALSE,mp-1195859,NaBH34(C3N)4,Hexagonal,P6_3,173,104,0.156415966,-0.162986607,FALSE,1057.590764,0.842291081,4.1881,FALSE,FALSE,NM,0.0013021,,,,,,,,,,,,,,,
39,FALSE,mp-669526,HgB(CN)4,Orthorhombic,Pbcm,57,80,0.48823101,0.194992467,FALSE,1448.052727,2.894100448,3.6368,FALSE,FALSE,NM,0.0373681,,,,,,,,,,,,,,,
40,FALSE,mp-574060,KB(CN)4,Tetragonal,I4_1/a,88,20,0.38703272,-0.135794424,FALSE,369.8723689,1.3825741,6.237,FALSE,FALSE,NM,0.000132,,,,,,,,,,,,,,,
41,FALSE,mp-1204978,SiBH6C2NCl2,Trigonal,R3c,161,78,0.038103319,-0.683784024,FALSE,1267.342476,1.209716398,5.1282,FALSE,FALSE,NM,0.0002017,,,,,,,,,,,,,,,
42,FALSE,mp-1199507,SiBH3CNCl3,Trigonal,R3c,161,60,0.048921386,-1.002431508,FALSE,1227.591725,1.414606372,4.9039,FALSE,FALSE,NM,0.0001014,,,,,,,,,,,,,,,
43,TRUE,mp-706227,BH5C4(N2O)2,Orthorhombic,Pnn2,34,96,0.88036602,0.10545655,FALSE,1203.763079,1.257394939,0.0069,FALSE,FALSE,FM,3.999231,,,,,,,,,,,,,,,
44,FALSE,mp-554318,BH11C4BrNF4,Monoclinic,P2_1/m,11,44,0.111316483,-0.921385305,FALSE,449.1690951,1.773375544,5.1176,FALSE,FALSE,NM,0.0036641,,,,,,,,,,,,,,,
45,FALSE,mp-1194718,BH17C5N2,Triclinic,P-1,2,50,0.20113471,-0.160124187,FALSE,492.2963969,0.782633879,4.2447,TRUE,FALSE,NM,0.004991,,,,,,,,,,,,,,,
46,FALSE,mp-698289,BH11AuC4IN2,Triclinic,P-1,2,40,0.231727615,-0.19967247,FALSE,506.5794713,2.765441132,1.9587,FALSE,FALSE,NM,0.0007754,,,,,,,,,,,,,,,
47,FALSE,mp-13588,CsB(CN)4,Tetragonal,I4_1/a,88,20,0.304974659,-0.154646838,FALSE,442.6871147,1.858913014,6.3553,FALSE,FALSE,NM,0.0006073,,,,,,,,,,,,,,,
48,FALSE,mp-556018,LiBH15C5NO3,Monoclinic,P2_1/c,14,104,0.31420873,-0.44373367,FALSE,952.6884688,1.080170468,4.047,TRUE,FALSE,NM,0.0027392,,,,,,,,,,,,,,,
49,FALSE,mp-555532,CsBC3NOF9,Monoclinic,P2_1/c,14,64,0.499120283,-1.763244288,FALSE,994.2399151,2.543587722,4.888,FALSE,FALSE,NM,0.0006883,,,,,,,,,,,,,,,
50,TRUE,mp-629458,BC2N,Orthorhombic,Pmm2,25,4,0.54073608,-0.192360277,FALSE,23.72330359,3.418547219,1.6619,FALSE,FALSE,NM,0.0001177,,,,,,,0.073,,,,,,,,
51,FALSE,mp-558972,KBC4NF9,Orthorhombic,Pnma,62,64,0.435886669,-1.655159667,FALSE,1001.147363,1.877207272,6.5143,FALSE,FALSE,NM,0.0003935,,,,,,,,,,,,,,,
52,FALSE,mp-10413,AgB(CN)4,Cubic,P-43m,215,10,0.439434519,0.146195976,FALSE,194.105947,1.905573168,4.2798,FALSE,FALSE,NM,0,,,,,,,0.042,,,,,0.02232,3.10041953,0.62931095,
53,FALSE,mp-649453,Ca3BCNCl2,Orthorhombic,Pnma,62,32,0,-1.552095291,TRUE,601.6283275,2.516839163,2.1079,TRUE,FALSE,NM,0.0069101,,,,,,,,,,,,,,,
54,FALSE,mp-696210,BH5CN2,Orthorhombic,Pna2_1,33,36,0.196925995,-0.385859969,FALSE,368.6473026,1.006732317,5.4699,FALSE,FALSE,NM,0.0011151,,,,,,,,,,,,0.369249124,8.592474963,6.313457167,
55,TRUE,mp-1215142,AgBHC12(NF2)9,Orthorhombic,P2_12_12_1,19,168,0.150431433,-1.154306124,FALSE,2234.388913,2.175558049,3.448,TRUE,FALSE,NM,0.0038198,,,,,,,,,,,,,,,
56,FALSE,mp-1195276,LiBH34(C3N)4,Hexagonal,P6_3,173,104,0.165123839,-0.165510361,FALSE,1096.575525,0.763741331,4.2338,FALSE,FALSE,NM,0.0001926,,,,,,,,,,,,,,,
57,TRUE,mp-30148,BC2N,Orthorhombic,P222_1,17,8,0.545834749,-0.187261609,FALSE,47.44076553,3.418968165,2.1099,TRUE,FALSE,NM,0.0003188,,,,,,,0.064,,,,,0.81214,6.72248655,1.06996871,
